order_id,ordered_at,customer_id,country,product,quantity,unit_price,total_usd,discount,status,is_gift
100001,2026-01-24T21:01:00+00:00,C-0960,FR,portable ssd,1,59.76,59.76,0.2,processing,False
100002,2026-02-18T23:07:00+00:00,C-0266,BR,desk mat,1,33.84,33.84,0.11,shipped,True
100003,2026-03-11T08:48:00+00:00,C-1155,AU,webcam,1,19.54,19.54,,shipped,False
100004,2026-02-02T05:11:00+00:00,C-0463,DE,ergonomic mouse,1,211.98,211.98,,delivered,False
100005,2026-02-17T21:42:00+00:00,C-1174,GB,monitor arm,1,67.26,67.26,0.28,delivered,False
100006,2026-05-30T18:15:00+00:00,C-0038,DE,mechanical keyboard,2,243.54,487.08,,delivered,False
100007,2026-05-17T00:49:00+00:00,C-0878,DE,desk mat,1,151.73,151.73,0.12,processing,False
100008,2026-05-03T16:43:00+00:00,C-0440,BR,monitor arm,1,248.99,248.99,,delivered,False
100009,2026-05-08T20:30:00+00:00,C-0064,IN,hdmi cable,3,114.77,344.31,,delivered,False
100010,2026-03-28T08:40:00+00:00,C-0848,CA,laptop stand,1,102.38,102.38,,delivered,False
100011,2026-06-18T20:09:00+00:00,C-0289,BR,hdmi cable,2,152.78,305.56,,delivered,False
100012,2026-03-28T05:01:00+00:00,C-1104,AU,ergonomic mouse,1,52,52,,delivered,False
100013,2026-03-31T20:13:00+00:00,C-0640,DE,mechanical keyboard,1,171.78,171.78,,delivered,False
100014,2026-06-02T20:49:00+00:00,C-0400,CA,noise-cancelling headphones,2,52.9,105.8,0.08,shipped,False
100015,2026-01-19T04:29:00+00:00,C-0101,IN,hdmi cable,1,187.38,187.38,0.21,processing,False
100016,2026-03-01T18:51:00+00:00,C-0571,CA,portable ssd,1,127.31,127.31,,delivered,False
100017,2026-05-08T12:19:00+00:00,C-0086,US,noise-cancelling headphones,2,36.84,73.68,,delivered,False
100018,2026-03-14T04:47:00+00:00,C-0625,US,monitor arm,1,231.57,231.57,,delivered,False
100019,2026-06-11T22:05:00+00:00,C-0716,DE,laptop stand,1,52.99,52.99,,delivered,False
100020,2026-01-12T17:53:00+00:00,C-0666,CA,monitor arm,1,62.06,62.06,,delivered,False
100021,2026-01-23T21:49:00+00:00,C-0562,GB,monitor arm,1,32.67,32.67,,delivered,False
100022,2026-02-06T20:55:00+00:00,C-0885,BR,monitor arm,1,131.28,131.28,0.07,processing,False
100023,2026-05-26T18:51:00+00:00,C-0479,BR,desk mat,1,234.81,234.81,,delivered,False
100024,2026-04-01T13:23:00+00:00,C-0818,IN,portable ssd,1,215.06,215.06,0.27,delivered,False
100025,2026-03-24T02:37:00+00:00,C-0772,CA,noise-cancelling headphones,1,39.11,39.11,0.26,shipped,False
100026,2026-06-06T05:11:00+00:00,C-0643,BR,portable ssd,2,36.22,72.44,,delivered,False
100027,2026-06-19T17:30:00+00:00,C-0489,JP,mechanical keyboard,1,223.64,223.64,,cancelled,False
100028,2026-02-26T08:14:00+00:00,C-0818,DE,desk mat,1,236.37,236.37,0.26,cancelled,False
100029,2026-06-22T23:34:00+00:00,C-0103,NL,hdmi cable,1,248.22,248.22,,shipped,False
100030,2026-06-22T00:08:00+00:00,C-0253,CA,hdmi cable,1,15.31,15.31,,delivered,False
100031,2026-03-04T12:48:00+00:00,C-0836,AU,noise-cancelling headphones,1,171.01,171.01,,processing,False
100032,2026-03-21T12:43:00+00:00,C-1038,FR,desk mat,3,117.24,351.72,0.2,delivered,True
100033,2026-01-26T15:43:00+00:00,C-0889,BR,monitor arm,1,224.16,224.16,,delivered,False
100034,2026-05-30T13:37:00+00:00,C-0212,JP,hdmi cable,2,27.17,54.34,,shipped,False
100035,2026-05-01T19:50:00+00:00,C-0492,AU,webcam,1,184.24,184.24,0.26,processing,False
100036,2026-04-19T15:37:00+00:00,C-0972,IN,hdmi cable,1,153.8,153.8,0.16,delivered,False
100037,2026-01-31T00:47:00+00:00,C-0952,JP,desk mat,1,32.88,32.88,0.17,delivered,False
100038,2026-03-12T23:11:00+00:00,C-1194,GB,mechanical keyboard,1,203.81,203.81,,delivered,False
100039,2026-03-17T01:53:00+00:00,C-0797,DE,usb-c dock,1,63.58,63.58,,delivered,False
100040,2026-03-01T20:51:00+00:00,C-1117,IN,webcam,1,33.57,33.57,,delivered,False
100041,2026-02-03T16:22:00+00:00,C-0686,GB,hdmi cable,1,51.15,51.15,,delivered,False
100042,2026-06-24T23:41:00+00:00,C-0192,NL,hdmi cable,2,113.3,226.6,,delivered,False
100043,2026-02-18T05:46:00+00:00,C-0858,US,monitor arm,1,38.34,38.34,,delivered,False
100044,2026-02-26T17:17:00+00:00,C-0024,BR,hdmi cable,1,172.72,172.72,0.2,delivered,False
